#proj       normal          tumor
BLCA-US-1 PCAWG.c878fe80-0a2e-43d2-ab62-1214fc34c282.bam PCAWG.066b5025-1a70-4db4-bd98-964b8c9939c3.bam
BRCA-US-2 PCAWG.be4e193a-0c7e-4f1f-bb1d-db374264155d.bam PCAWG.4b7c5c51-36d4-45a4-ae4d-0e8154e4f0c6.bam
BRCA-US-3 PCAWG.1f6de218-f294-4555-9a6c-04c6c4ed81ef.bam PCAWG.a3efd151-d3c6-49da-9692-f0436e849d87.bam
BTCA-SG-4 3a62b4250f4c7227fd5283888f2b598e.bam a51ad19bf9dcf4819371740c732bcba0.bam
BTCA-SG-5 6047b764df227f9e79bfd1b0c10e5c0c.bam 07a920d94cb607e6171890cef2220498.bam
CESC-US-6 PCAWG.94f8d946-a92e-4d2b-9f29-8e10f4274efe.bam PCAWG.dc9dd886-5c1b-4564-ba84-fa2a70cc4ffe.bam
CESC-US-7 PCAWG.3b2c5881-e2a9-4ae9-9abd-bafec7c045f1.bam PCAWG.0b2484f8-2bc8-474b-830a-42c68c78c881.bam
CESC-US-8 PCAWG.ba8bb154-ef77-4383-99b5-0abc5034aaeb.bam PCAWG.abd8a814-8c7d-4b4a-b4a7-38394a36ac30.bam
COAD-US-9 PCAWG.b53f2539-d20a-4549-b061-fcf3a35be49f.bam PCAWG.6cd64542-56ff-444e-9b5a-29efc28fb5af.bam
COAD-US-10 PCAWG.0e0d6399-3a1e-4b5a-8f9b-02303edd8f4a.bam PCAWG.a1f1bcef-0bc0-4a97-8617-1f4b6f493498.bam
ESAD-UK-11 d3080e4ebe9276d8f7101af286eba233.bam 90d99626b73bd35673e41235374bd024.bam
ESAD-UK-12 fdcb1bd7cffca69d15383ca9566c58e0.bam 7875b5196f6b8b52847f99bf370aada0.bam
ESAD-UK-13 15c1dff43b7a10b72f9c600b082d957c.bam ab4cd5b95392cd1c35b78659af1afaf4.bam
ESAD-UK-14 f36e9788a505975b966b1e521c950dfd.bam a80a272635b66d9df4861d1a3624cddd.bam
ESAD-UK-15 91c48557f40e5442961323ba84fac2c5.bam 5bf4af94766a4eccee938ecfe433f40d.bam
GBM-US-16 PCAWG.701ee04f-ee1c-42b4-9614-499d51cf4a0a.bam PCAWG.d19dbf14-3293-4e09-a072-a746bb26376c.bam
GBM-US-17 PCAWG.fa4fa49d-6d53-4ffa-9759-ffb884b28d17.bam PCAWG.64d83e97-f798-45d1-b9e6-efaa635b4abb.bam
HNSC-US-18 PCAWG.863fe801-c4eb-436c-9410-545a1164e943.bam PCAWG.9428f3db-6c71-41cc-83a0-1bc0d4a105cc.bam
KICH-US-19 PCAWG.47187a57-68f9-44c2-8e11-87e2169d43a1.bam PCAWG.143bbe67-5962-448d-84e7-ebb517ce36b9.bam
KICH-US-20 PCAWG.88eb7362-ea2f-43e7-861d-e9b70dce04f3.bam PCAWG.df7ec290-c137-4a78-93f2-c0e15bf6b3b1.bam
KIRC-US-21 PCAWG.cdccdb98-4446-41f2-bcf2-e5459a2e477d.bam PCAWG.a0218c53-0b70-4940-8e14-cdc7dde9e5a7.bam
KIRC-US-22 PCAWG.80d8e24d-3ec1-4e43-a28a-4dba015c7fa6.bam PCAWG.964eb3a2-8c65-46b1-9087-14b3b5ade6ad.bam
KIRP-US-23 PCAWG.3a921418-7ca7-41af-aa40-8cc35d64156c.bam PCAWG.af8674a0-521e-4f28-b13f-5559909e60c8.bam
LAML-US-24 PCAWG.b0511bcd-f3d6-4557-bdb5-6c7439b7784b.bam PCAWG.47071d63-9223-4faf-9a50-3af9c6c9492e.bam
LGG-US-25 PCAWG.f466f409-012f-4833-957b-8de7d21ae60f.bam PCAWG.c4acd2ab-93da-47ff-a5ac-14a9c269bc06.bam
LGG-US-26 PCAWG.3fb8200c-664f-4526-b558-e1b16acee25a.bam PCAWG.11d167fc-2ff3-42e0-b064-b11ad64d456f.bam
LUAD-US-27 PCAWG.3fa326fb-473e-49c6-888a-8774c1beed5d.bam PCAWG.ab10ec7f-7dca-4615-b5d8-8cc82ae24546.bam
LUAD-US-28 PCAWG.fb5bfc6c-2215-459d-8e51-520e3397b525.bam PCAWG.cf583bf4-a5aa-4c7a-9962-1d20ffc42a98.bam
OV-US-29 PCAWG.01db3f49-af1e-4779-803b-b2e516a9fbfd.bam PCAWG.00e7f3bd-5c87-40c2-aeb6-4e4ca4a8e720.bam
OV-US-30 PCAWG.999309db-074b-454c-897e-4935d45ac118.bam PCAWG.20b85de1-8cc4-4a57-baa8-656cdde95fa9.bam
PRAD-UK-31 6c3d86485da645825a83c10d90f37098.bam 0a0cf3ae527d5abc813d99b4ce6a9db2.bam
PRAD-UK-32 ce75215d7dab7c3c3e68769efadd7b76.bam 3de82977aedac80869c232886e7f5a7b.bam
PRAD-UK-33 49df2f51b9cc662b6e2fba9c9e3dbdbd.bam 488c5c7132a9e135b81092e7c0d63255.bam
PRAD-US-34 PCAWG.1d7f3a4b-3795-4ba5-a840-583767b7a96f.bam PCAWG.5c7b3dc8-f64b-4ca9-bd43-2245297450b4.bam
PRAD-US-35 PCAWG.34f66158-f8af-4de3-b55a-cc44d8ebd143.bam PCAWG.3b8eb3f9-0ebb-4da8-bb18-7d1bf75ce527.bam
READ-US-36 PCAWG.fa7a917b-3692-408e-a23b-88d52f7b91d3.bam PCAWG.f95a220c-742d-46ee-8110-8bf799142300.bam
READ-US-37 PCAWG.71481425-8371-4e2f-be7f-22ef1883af87.bam PCAWG.c44b8511-615b-45c2-b848-ac4a419e307e.bam
SARC-US-38 PCAWG.7aa1e116-1111-4acb-b368-578d10458cd0.bam PCAWG.6e51117c-0705-4967-b674-e4aed6038f8b.bam
SARC-US-39 PCAWG.2ebf592b-a06d-442c-8b79-743df0d2d0f0.bam PCAWG.53d73a93-31ca-480e-ab1b-36742dcde99d.bam
SKCM-US-40 PCAWG.af9d74d7-e130-4421-acd8-381e7dd562a7.bam PCAWG.bf057243-6550-4e80-9b23-53bd147cb7ee.bam
SKCM-US-41 PCAWG.02a966f9-14a4-4376-88df-8d4ca397c763.bam PCAWG.230303e8-f1ef-4589-9c46-d11e4b83e75c.bam
STAD-US-42 PCAWG.8eb21446-9b12-4847-b0a1-113480e9111a.bam PCAWG.c904c979-4ec6-49f8-875a-3d4fdcc96761.bam
STAD-US-43 PCAWG.043eb12d-c4a7-4f60-b133-2363530ce4b2.bam PCAWG.efd3cefd-3cb0-4e2d-9689-65f60401262d.bam
THCA-US-44 PCAWG.d2149bf0-0ebf-44fc-8763-98cbac731b09.bam PCAWG.80304de2-8f90-4d66-a991-f1102cfb3eb9.bam
UCEC-US-45 PCAWG.72350fe0-0c5e-493f-8d19-ee2303dc7f81.bam PCAWG.c65990cd-c90c-4b5e-8192-683b5d41cbe6.bam
UCEC-US-46 PCAWG.4a47eec1-a25e-4591-be8e-110637134b0e.bam PCAWG.c95d9015-10a2-45bb-bc00-93e1c5815a43.bam
LIHC-US-47 PCAWG.29034096-d0af-4a86-b348-1c918253a9ef.bam PCAWG.e96e162e-067b-4b4a-9b1d-8627dcffada7.bam
LIHC-US-48 PCAWG.8829bdfc-961c-404f-87a2-222ed55f12c5.bam PCAWG.b75e14f5-11dd-4a0c-a072-304f9ea40885.bam
LIHC-US-49 PCAWG.a1c6172d-d3a5-4020-b53c-c356a352adfc.bam PCAWG.ccad54ca-89fb-4818-8122-cfe86373449c.bam
READ-US-50 PCAWG.3185c99a-b8ff-46a6-bd0a-c78bf9ddb24a.bam PCAWG.02bf0d26-f948-4658-b871-748f6c488948.bam
BLCA-US-51 PCAWG.67455c36-aa47-4cc4-8b6d-9a9012b616ed.bam PCAWG.a833602e-7ee7-442b-9bf9-f6489cd64ba2.bam
BLCA-US-52 PCAWG.13985b6b-d7b6-4efd-9c53-288f4d269a0c.bam PCAWG.af830047-822a-4dcc-88bc-68f7440a208d.bam
BRCA-US-53 PCAWG.7ff82d5b-8ad1-4da2-b6bf-f1c746609638.bam PCAWG.15c6fc97-de2a-472c-9f20-3bca01462f66.bam
BRCA-US-54 PCAWG.4544b1d3-bd47-4921-a049-7f4702b75f31.bam PCAWG.39ad557b-b9ca-4dc6-a3c7-eea8798e56e3.bam
